logFC,AveExpr,t,P.Value,adj.P.Val,B
0.817540103,5.792636013,3.176212133,0.007016298,0.62189092,-2.277385571
0.622319424,5.525155151,3.174035006,0.007046234,0.62189092,-2.281210706
-0.262401072,7.397862038,-3.157462162,0.007278328,0.638803849,-2.310323361
-0.327527744,7.493609837,-3.155923515,0.007300259,0.638803849,-2.313025731
-0.421816328,7.991018591,-3.15207072,0.007355463,0.640895604,-2.319792126
0.258725405,3.655115265,3.141273141,0.007512402,0.651796382,-2.338752162
-0.230618113,8.072719571,-3.132023743,0.007649488,0.654449002,-2.354989995
0.277657999,9.035284968,3.13168295,0.007654587,0.654449002,-2.355588209
-0.297261505,9.684438662,-3.12677257,0.007728422,0.654449002,-2.364207145
0.793325808,5.865376029,3.12466327,0.007760356,0.654449002,-2.367909174
-1.063454582,5.072312692,-3.123362875,0.007780109,0.654449002,-2.370191401
-0.383137213,8.517249115,-3.122876729,0.007787507,0.654449002,-2.371044579
0.433388941,9.024036402,3.121547192,0.007807773,0.654449002,-2.373377846
0.401013988,8.428182009,3.120011357,0.00783125,0.654449002,-2.376073057
-0.378929774,7.329791462,-3.119103015,0.007845168,0.654449002,-2.377667042
0.523923125,5.961020983,3.115251226,0.00790446,0.654449002,-2.384425865
0.603346356,6.671479372,3.110582691,0.007976923,0.654449002,-2.39261695
-0.576909553,5.477343631,-3.106031006,0.008048208,0.654449002,-2.400602042
-0.195774637,10.18326894,-3.105999341,0.008048706,0.654449002,-2.400657591
-0.946933219,4.205769213,-3.105051229,0.008063635,0.654449002,-2.402320754
-0.335655043,3.908272602,-3.104556867,0.00807143,0.654449002,-2.40318794
0.490971717,4.999575909,3.104114748,0.008078408,0.654449002,-2.403963474
-0.480376342,6.406996059,-3.103613568,0.008086325,0.654449002,-2.404842596
-0.304641251,7.520931152,-3.096565243,0.008198489,0.655899173,-2.417204819
-0.434233077,4.357683395,-3.095959281,0.008208204,0.655899173,-2.418267517
-0.387311344,5.61688144,-3.094516549,0.00823138,0.655899173,-2.420797615
-0.725078567,5.925492974,-3.094454795,0.008232374,0.655899173,-2.42090591
0.300944375,11.15695024,3.086726754,0.008357645,0.660175927,-2.434456655
0.332197092,9.960215259,3.085392852,0.008379459,0.660175927,-2.436795278
0.304507983,7.462298071,3.085190259,0.008382777,0.660175927,-2.43715046
0.518507676,6.024009833,3.080613871,0.008458076,0.663553876,-2.445173121
0.757259031,5.874054584,3.073911077,0.008569577,0.669735321,-2.456921479
0.535865314,7.850949414,3.07124022,0.008614412,0.670008235,-2.461602161
0.296202029,10.51959694,3.069254295,0.008647901,0.670008235,-2.465082244
-0.369519637,7.878430916,-3.067875112,0.008671234,0.670008235,-2.467498959
0.579476423,5.899620047,3.065826694,0.008706004,0.670165964,-2.471088166
-0.279874205,6.662024127,-3.060944342,0.008789439,0.672628138,-2.479641993
-0.632355798,6.058370933,-3.058621217,0.008829417,0.672628138,-2.483711603
0.325164314,8.85129895,3.056976791,0.008857824,0.672628138,-2.486592091
0.69238064,5.226330878,3.056308866,0.008869388,0.672628138,-2.487762029
-0.52518553,7.325548807,-3.053003702,0.008926834,0.67448656,-2.493550972
0.587420438,5.47362621,3.042573915,0.009110542,0.685836256,-2.511814303
-0.453926166,6.932361288,-3.038303968,0.00918683,0.688809688,-2.519289379
-0.501272787,6.399958465,-3.036607167,0.00921732,0.688809688,-2.522259525
0.727932709,6.659554338,3.028946328,0.009356237,0.696648386,-2.535667085
-0.373426254,6.278591324,-3.026855466,0.00939451,0.696963746,-2.539325736
0.605955684,4.993604138,3.024974963,0.009429066,0.697001983,-2.542616052
-0.416993829,7.617982165,-3.020920217,0.009504003,0.697328533,-2.549709848
-0.290670165,10.08879764,-3.018050431,0.009557398,0.697328533,-2.554729891
-0.271668897,8.714597095,-3.017929237,0.009559659,0.697328533,-2.554941881
0.240980757,7.097950555,3.017391092,0.009569707,0.697328533,-2.555883178
0.387236873,6.3398739,3.009082431,0.009726176,0.706196211,-2.570413789
0.267729264,5.120457316,3.006882603,0.009768025,0.706196211,-2.574260165
-0.858505828,6.217603557,-3.00205937,0.009860408,0.706196211,-2.582692351
-0.703789513,8.67506399,-3.001977501,0.009861984,0.706196211,-2.582835463
-0.365185759,7.80621049,-3.001746768,0.009866426,0.706196211,-2.583238799
-0.791201103,6.248387304,-3.000092174,0.009898335,0.706196211,-2.586131015
0.918076206,5.446515894,2.994947981,0.009998198,0.709680669,-2.595121769
0.2942507,8.170835462,2.991925404,0.010057339,0.709680669,-2.600403579
-0.498647021,4.591884633,-2.991182225,0.010071933,0.709680669,-2.601702146
-0.457905798,7.245808313,-2.988094217,0.010132799,0.709680669,-2.607097431
-0.718197367,5.174118802,-2.985053131,0.010193095,0.709680669,-2.612410042
0.454975335,6.595422616,2.983876245,0.010216525,0.709680669,-2.614465813
-0.438258528,5.704909308,-2.983228835,0.010229436,0.709680669,-2.615596656
0.284724906,7.580848453,2.982879107,0.010236418,0.709680669,-2.616207518
-0.614324458,8.902032387,-2.980042174,0.010293224,0.709680669,-2.621162395
-0.273752458,8.335445322,-2.980015174,0.010293766,0.709680669,-2.621209549
0.644963022,3.87482106,2.970273713,0.010491222,0.710277125,-2.63821888
-0.360358918,9.934385221,-2.969445043,0.010508191,0.710277125,-2.639665459
-0.851522782,3.716121655,-2.967140211,0.01055553,0.710277125,-2.643688639
0.411481126,8.907408909,2.966191958,0.010575067,0.710277125,-2.64534373
1.260370588,4.291521701,2.96209246,0.010659943,0.710277125,-2.65249822
-0.299437312,7.175221298,-2.960810572,0.010686621,0.710277125,-2.654735107
-0.225402576,7.577702774,-2.957450189,0.010756869,0.710277125,-2.660598326
0.428126916,4.102057448,2.957419832,0.010757506,0.710277125,-2.660651289
0.826596818,6.104768942,2.957330898,0.010759372,0.710277125,-2.660806449
0.5505492,9.802278224,2.957292135,0.010760185,0.710277125,-2.660874078
-0.90538818,4.482757912,-2.955733322,0.010792936,0.710277125,-2.663593571
-0.728150579,4.361498862,-2.951801353,0.010875987,0.710277125,-2.670452372
-0.338417697,9.198152099,-2.951165946,0.010889467,0.710277125,-2.671560634
-0.682018133,7.223125871,-2.950442511,0.010904835,0.710277125,-2.672822394
0.987375642,5.413754092,2.950327443,0.010907281,0.710277125,-2.673023082
1.06030175,3.616802918,2.950023214,0.010913752,0.710277125,-2.67355368
0.221219498,6.748775276,2.949174145,0.01093183,0.710277125,-2.675034473
0.384502525,6.837288802,2.948020957,0.010956431,0.710277125,-2.677045562
-0.71015543,9.914230032,-2.946984177,0.010978596,0.710277125,-2.678853546
0.508253515,8.722215781,2.945174529,0.011017389,0.710277125,-2.682009076
0.311718067,8.222772697,2.938824363,0.01115459,0.710277125,-2.693079823
-0.853084665,4.547928803,-2.936725976,0.011200297,0.710277125,-2.696737345
1.089726099,5.460761471,2.93529682,0.011231533,0.710277125,-2.699228168
0.368187184,3.813982361,2.933686936,0.011266822,0.710277125,-2.702033764
0.341864066,5.834958079,2.933419503,0.011272695,0.710277125,-2.702499806
-0.37654283,5.963397886,-2.932535697,0.011292124,0.710277125,-2.704039925
-0.324264474,3.369889819,-2.932344104,0.011296341,0.710277125,-2.704373786
-0.950156729,5.977607317,-2.932034089,0.011303166,0.710277125,-2.704913996
0.361313478,6.737436488,2.930344659,0.011340435,0.710277125,-2.707857729
-0.503196818,6.333155004,-2.93022559,0.011343066,0.710277125,-2.708065191
0.70056182,6.005917243,2.922394325,0.011517451,0.715034286,-2.72170732
0.347818857,6.413990282,2.921919568,0.011528107,0.715034286,-2.722534174
-0.28757318,6.91867655,-2.921847173,0.011529733,0.715034286,-2.722660259
0.319022878,9.999615771,2.920558143,0.01155872,0.715034286,-2.724905168
-0.324966419,11.06829619,-2.908205215,0.011840172,0.728183383,-2.746410686
0.553582667,4.498925334,2.907388685,0.011859012,0.728183383,-2.747831704
0.285680136,6.864244187,2.906568476,0.011877967,0.728183383,-2.749259061
0.484978427,4.181380011,2.903982622,0.011937921,0.729674245,-2.753758643
-0.471031548,3.857108814,-2.898962517,0.012055167,0.730194416,-2.762492192
-0.799683056,5.036989479,-2.897914772,0.01207978,0.730194416,-2.764314663
0.351291321,8.421976768,2.897697955,0.01208488,0.730194416,-2.764691786
0.472036383,7.937163865,2.897519637,0.012089075,0.730194416,-2.765001943
-0.967199995,5.636848008,-2.890519312,0.012254924,0.731039674,-2.777175476
0.360389921,5.226358819,2.889752195,0.012273234,0.731039674,-2.778509197
-0.588955917,7.133513048,-2.887498263,0.012327188,0.731039674,-2.782427583
0.224158051,6.906650945,2.885588669,0.012373081,0.731039674,-2.785746955
0.503007734,6.617945177,2.885487079,0.012375528,0.731039674,-2.785923535
0.5817263,2.595767257,2.885295794,0.012380135,0.731039674,-2.786256016
0.205581109,10.32086952,2.88249334,0.01244783,0.731039674,-2.791126672
0.34766562,6.438836641,2.879974385,0.012508987,0.731039674,-2.795503937
-0.386404089,10.15159989,-2.879528716,0.012519838,0.731039674,-2.796278323
-0.431379168,4.403754732,-2.879188127,0.012528137,0.731039674,-2.79687011
0.502430162,7.174463975,2.878008212,0.012556929,0.731039674,-2.79892017
-0.553514626,6.444618939,-2.87668715,0.012589243,0.731039674,-2.8012153
0.415360876,6.758379554,2.875434862,0.01261995,0.731039674,-2.803390782
-0.27855625,11.42006612,-2.874857566,0.01263413,0.731039674,-2.804393611
0.345131903,7.11632158,2.874675583,0.012638603,0.731039674,-2.804709728
0.440123805,5.899390308,2.867830367,0.012808005,0.738751287,-2.816597902
-0.639583218,6.055070368,-2.864316807,0.012895822,0.739579193,-2.822698057
-0.552730254,7.652647579,-2.862033574,0.012953205,0.739579193,-2.826661455
0.241468604,7.485889471,2.859774901,0.013010219,0.739579193,-2.830581679
0.308901055,9.077466872,2.858071076,0.01305339,0.739579193,-2.833538534
1.112268558,5.78371892,2.857131981,0.013077244,0.739579193,-2.835168127
-0.253541968,9.114619395,-2.854338642,0.013148454,0.739579193,-2.840014796
-0.723117066,4.892097492,-2.854234865,0.013151107,0.739579193,-2.840194842
0.34017426,7.38767336,2.854045842,0.01315594,0.739579193,-2.84052278
0.547060579,7.976842373,2.851329414,0.013225593,0.739579193,-2.845235112
0.373270063,8.014503063,2.85060014,0.013244354,0.739579193,-2.846500087
0.351388839,4.272669271,2.849029574,0.013284847,0.739579193,-2.849224141
-0.285739003,4.462694277,-2.848515281,0.013298134,0.739579193,-2.850116095
0.74127632,6.275581751,2.844813873,0.013394141,0.739579193,-2.856534698
0.351509538,9.649521355,2.844535287,0.013401395,0.739579193,-2.857017733
